PropID,Boro,Community Board,Council District,Garden Name,Address,Size,Jurisdiction,NeighborhoodName,Cross Streets,Latitude,Longitude,Postcode,Census Tract,BIN,BBL,NTA,gardenKey
B421,B,B02,35.0,Brooklyn Bears/Carlton Avenue Garden,397-401 Carlton Avenue,0.14,DPR,Clinton Hill,Active,40.685731,-73.971356,11238.0,179.0,3000000.0,3019570023.0,Fort Greene,42500056
,B,B02,33.0,Brooklyn Bears/Pacific Street Garden,Flatbush Avenue,,TPL,Park Slope,Atlantic Avenue & Pacific Street,,,,,,,,42500057
B422,B,B02,33.0,Brooklyn Bears/Rockwell Place Garden,65-73 Flatbush Avenue,0.08199999999999999,DPR,Downtown Brooklyn,Active,40.687133,-73.979674,11217.0,33.0,,,Fort Greene,42500058
,B,B02,35.0,Brooklyn's Finest Garden,48 Lefferts Place,0.057,DPR,,Street James Pl & Grand Avenue,40.681526,-73.961901,11238.0,201.0,3000000.0,3020180035.0,Clinton Hill,42500059
X315,X,X02,17.0,Bryant Hill Community Garden,899-999 Bryant Avenue,0.34,DPR,Hunt's Point,Active,40.819878,-73.886951,10474.0,11502.0,2000000.0,2027610102.0,Hunts Point,42500060
B447,B,B05,42.0,C.A.U.S.A. Festival Garden,790 Blake Avenue,0.168,DPR,East New York,Active,40.668623,-73.889471,11207.0,1160.0,3000000.0,3040570031.0,East New York,42500061
,X,X05,14.0,C.E.S. 109 - The Angelo Sanchez Inspirational Garden,1771 Popham Avenue,,DOE,,,40.851414,-73.918533,10453.0,20502.0,2094549.0,2028770393.0,University Heights-Morris Heights,42500062
,X,X04,16.0,C.E.S. 126 - Literacy Garden,175 W 166th Street,,DOE,,Ogden Avenue & MLK Jr. Boulevard,40.835784000000004,-73.928324,10452.0,199.0,2003495.0,2025260083.0,Highbridge,42500063
,X,X03,0.0,C.E.S. 55,450 St. Pauls Place,,DOE,Mt. Eden,Park & Washington Avenues,40.836403999999995,-73.90501400000001,10456.0,14702.0,2009463.0,2029020001.0,Claremont-Bathgate,42500064
,X,X04,16.0,C.E.S. 73,1020 Anderson Avenue,,TPL/DOE,,E 164th & E. 165th Streets.,40.832706,-73.926838,10452.0,189.0,2003051.0,2025040082.0,Highbridge,42500065
X340,X,X03,16.0,C.S. 134X - Community Improvement Garden,1313-1311 Bristow Street,0.161,DPR,Morrisania,Active,40.831035,-73.89477,10459.0,153.0,,,Crotona Park East,42500066
,M,M10,9.0,C.S. 154 - Our Children's Garden,250 W 127th Street,0.066,DOE,,Frederick Douglass & Adam Clayton Powell Boulevards,40.810928000000004,-73.948938,10027.0,224.0,1058671.0,1019320010.0,Central Harlem North-Polo Grounds,42500067
,M,M10,9.0,C.S. 46 - Tappan School Garden of Heroes,2987 Frederick Douglass Boulevard,,DOE,,At Harlem River Drive,,,,,,,,42500068
,X,X06,15.0,C.S. 57 - Garden of Hope,2111 Crotona Avenue,,DOE,,E. 180th & E. 181st Streets.,40.848471999999994,-73.888561,10457.0,373.0,2012359.0,2030810026.0,East Tremont,42500069
,X,X06,0.0,C.S. 6 - West Farms School Garden,1000 East Tremont Avenue,,DOE,Tremont,Vyse & Bryant Avenues,40.840755,-73.88170699999999,10460.0,359.0,2010892.0,2030050010.0,East Tremont,42500070
,X,X03,15.0,C.S. 61 - The  Francisco Oller School,1550 Crotona  Park East,0.055,DOE,,At Charlotte Street,40.836575,-73.89281700000001,10460.0,153.0,2009865.0,2029390045.0,Crotona Park East,42500071
,Q,Q13,27.0,Cambria Heights Civic Association,227th Street,0.207,TPL,Cambria Heights,At Linden Boulevard,,,,,,,,42500072
M359,M,M03,2.0,CAMPOS,640-644 East 12th Street,0.11900000000000001,DPR,East Village,Active,40.727318,-73.977194,10009.0,28.0,1000000.0,1003940029.0,Lower East Side,42500073
M388,M,M11,9.0,Carolina Garden / formerly 116th Street Block Association,122nd Street,0.063,DPR,East Harlem,Active,,,,,,,,42500074
,X,X12,0.0,Carpenter Avenue Community Garden,in East 239th Street,,DOT,Wakefield,At Carpenter Avenue,,,,,,,,42500075
M385,M,M10,9.0,Carrie McCracken Garden/TRUCE,143-145 St. Nicholas Avenue,0.059000000000000004,DPR,,Active,40.804435999999995,-73.95274599999999,10026.0,218.0,1000000.0,1019230020.0,Central Harlem South,42500076
,B,B06,30.0,Carroll Street Community Garden (Our Lady of Peace Church or Gil Hodges Garden),534 Carroll Street,0.069,NYRP,,,40.676396000000004,-73.984555,11215.0,119.0,3000000.0,3004560014.0,Park Slope-Gowanus,42500077
,M,M11,8.0,Carver Community Garden,236-242 East 124th Street,0.275,TPL,East Harlem,2nd & 3rd Avenues,40.802632,-73.935399,10035.0,194.0,1000000.0,1017880034.0,East Harlem North,42500078
,X,X01,17.0,Cauldwell Youth Garden,551 Cauldwell Avenue,0.11900000000000001,TPL,Mott Haven,E. 149th Street & Westchester Avenue,40.814133,-73.910779,10455.0,73.0,2000000.0,2026230058.0,Melrose South-Mott Haven North,42500079
B448,B,B03,36.0,Cedar Tree Garden,305 Greene Avenue,0.177,DPR,,Active,40.687514,-73.958923,11238.0,233.0,3000000.0,3019530070.0,Bedford,42500080
,B,B03,41.0,Central Bainbridge Block Association Inc.,277-279 Bainbridge Street,0.11199999999999999,TPL,Bed-Stuy,Ralph & Patchen Avenues,40.681591,-73.925688,11233.0,381.0,3047698.0,3016830091.0,Crown Heights North,42500081
,M,M11,9.0,Chenchitas Group Garden,1691-93 Madison Avenue,0.053,HPD,East Harlem,E. 111th & E. 112th Streets.,40.797308,-73.946792,10029.0,17402.0,1000000.0,1016170051.0,East Harlem South,42500082
,M,M10,9.0,Childrens Aid Soc. Garden (The Sowers),21 West 118th Street,0.057,PRI,,5th & Lenox Avenues,40.802366,-73.94641999999999,10026.0,190.0,1083962.0,1017170022.0,Central Harlem South,42500083
B224A,B,B03,41.0,Citizens for a Better Community,127 Patchen Avenue,0.299,DPR,Bed-Stuy,Active,40.687548,-73.926979,11221.0,385.0,3000000.0,3016430001.0,Stuyvesant Heights,42500084
,M,M02,3.0,City-As-School H.S.,16 Clarkson Street,0.11,DOE,West Village,Hudson & Varick Streets.,40.729411999999996,-74.006148,10014.0,67.0,1009757.0,1005810054.0,West Village,42500085
B450,B,B05,37.0,Clara's Garden,573-579 Glenmore Avenue,0.043,DPR,East New York,Active,40.674214,-73.88914799999999,11207.0,1152.0,3088528.0,3039790033.0,East New York,42500086
X321,X,X04,16.0,Claremont Neighborhood Garden,1280 Teller Avenue,0.19,DPR,,Active,40.834051,-73.91055300000001,10456.0,17701.0,2000000.0,2024310020.0,East Concourse-Concourse Village,42500087
,B,B03,36.0,Classon/Fulgate Block Association,474 Classon Avenue,0.115,TPL,,Madison & Monroe Streets,40.683943,-73.95903299999999,11238.0,231.0,3414490.0,3019840062.0,Clinton Hill,42500088
,X,X04,16.0,Clay Avenue Community Garden,1328-1332 Clay Avenue,0.033,NYRP,,E. 169th & E. 170th Streets,40.835309,-73.908936,10456.0,17702.0,2000000.0,2028870012.0,East Concourse-Concourse Village,42500089
M374,M,M10,9.0,Clayton Williams Garden,303 W 126th Street,0.057,TPL/DPR,,Active,40.810959000000004,-73.950928,10027.0,215.0,1000000.0,1019530028.0,Central Harlem North-Polo Grounds,42500090
